Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEI,Sell,2022-09-06 13:45:00+05:30,17680.55,Sell,Neutral,Sell,Buy,Neutral,Sell,Sell,Buy,50.0,17857.355499999998,17503.7445,6.0,17800,2022-09-15,260.1,234.09,286.11,300,1,1,NIFTY15SEP2217800PE,47922,8.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Cowboy,%5ENSEBANK,Buy,2022-09-06 09:15:00+05:30,40000.4,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,39600.396,40400.404,2.0,39800,2022-09-15,694.6,625.14,764.06,25,1,-1,BANKNIFTY15SEP2239800CE,51828,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Cowboy,%5ENSEI,Buy,2022-09-06 09:15:00+05:30,17743.75,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,17566.3125,17921.1875,6.0,17550,2022-09-15,328.0,295.2,360.8,300,1,1,NIFTY15SEP2217550CE,47901,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Gap_up,%5ENSEBANK,Buy,2022-09-06 12:30:00+05:30,39979.2,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Sell,75.0,39579.407999999996,40378.992,3.0,39800,2022-09-15,655.15,589.64,720.66,75,1,1,BANKNIFTY15SEP2239800CE,51828,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Options_Chain_Volume,%5ENSEBANK,Sell,2022-09-06 15:26:00+05:30,39629.55,Sell,Sell,Sell,Sell,Neutral,Sell,Sell,Sell,87.5,40025.8455,39233.2545,3.0,39800,2022-09-15,590.7,531.63,649.77,25,1,-1,BANKNIFTY15SEP2239800PE,51838,9.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Options_Chain_Volume,%5ENSEI,Buy,2022-09-06 11:06:00+05:30,17653.55,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Sell,50.0,17477.014499999997,17830.0855,6.0,17550,2022-09-15,267.15,240.43,293.86,50,1,-1,NIFTY15SEP2217550CE,47901,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Reds Brahmos,%5ENSEBANK,Buy,2022-09-06 09:15:00+05:30,40000.4,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,39600.396,40400.404,2.0,39800,2022-09-15,694.6,625.14,764.06,25,1,-1,BANKNIFTY15SEP2239800CE,51828,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Reds Rocket,%5ENSEBANK,Buy,2022-09-06 09:15:00+05:30,39954.5,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,39554.955,40354.045,2.0,39800,2022-09-15,694.6,625.14,764.06,25,1,-1,BANKNIFTY15SEP2239800CE,51828,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
Reds Rocket,%5ENSEI,Buy,2022-09-06 09:15:00+05:30,17736.4,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,17559.036,17913.764000000003,6.0,17650,2022-09-15,262.0,235.8,288.2,300,1,1,NIFTY15SEP2217650CE,47909,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-06 16:27:20.083723
